parameter_name,parameter_value,replica,seed,success,physical_time,biased_time,acceleration_factor,integration_steps,n_deposited_gaussians,W,sigma
sigma,0.0016775315134835989,4,1511381579,True,0.4746438943915767,0.47000000000000003,1.0098806263650568,470,23,0.3,0.0016775315134835989
sigma,0.0016775315134835989,5,67134817,True,0.5070333804916538,0.5,1.0140667609833076,500,24,0.3,0.0016775315134835989
sigma,0.0016775315134835989,6,2577441816,True,2.7811297418908376,2.688,1.0346464813581984,2688,134,0.3,0.0016775315134835989
sigma,0.0016775315134835989,7,2527786037,True,0.8798852839434497,0.862,1.0207485892615427,862,43,0.3,0.0016775315134835989
sigma,0.0016775315134835989,8,1659293587,True,1.185828811478424,1.157,1.0249168638534347,1157,57,0.3,0.0016775315134835989
sigma,0.0016775315134835989,9,1770904384,True,0.9249918939836593,0.908,1.0187135396295808,908,45,0.3,0.0016775315134835989
sigma,0.0023603807633961124,0,614158161,True,0.36185168359163616,0.359,1.0079434083332484,359,17,0.3,0.0023603807633961124
sigma,0.0023603807633961124,1,1389840503,True,0.3633980240131813,0.361,1.0066427257982862,361,18,0.3,0.0023603807633961124
sigma,0.0023603807633961124,2,4246811294,True,0.3500756351084692,0.34800000000000003,1.0059644687024976,348,17,0.3,0.0023603807633961124
sigma,0.0023603807633961124,3,2388227885,True,0.7030682419131928,0.6890000000000001,1.0204183482049243,689,34,0.3,0.0023603807633961124
sigma,0.0023603807633961124,4,1529602480,True,1.9889908890136525,1.874,1.0613612001140087,1874,93,0.3,0.0023603807633961124
sigma,0.0023603807633961124,5,1732705421,True,8.468326543802606,7.261,1.1662755190473222,7261,363,0.3,0.0023603807633961124
sigma,0.0023603807633961124,6,2434324981,True,1.2225589125757845,1.187,1.029956960889456,1187,59,0.3,0.0023603807633961124
sigma,0.0023603807633961124,7,2488404647,True,1.0544410131515902,1.027,1.0267195843735057,1027,51,0.3,0.0023603807633961124
sigma,0.0023603807633961124,8,2192364020,True,0.3693692859283256,0.364,1.014750785517378,364,18,0.3,0.0023603807633961124
sigma,0.0023603807633961124,9,2215600991,True,2.307643173744231,2.191,1.0532374138494893,2191,109,0.3,0.0023603807633961124
sigma,0.003321187890319108,0,3279146391,True,0.6264107247513853,0.61,1.0269028274612872,610,30,0.3,0.003321187890319108
sigma,0.003321187890319108,1,831832404,True,3.4967033361589097,3.1870000000000003,1.097177074414468,3187,159,0.3,0.003321187890319108
sigma,0.003321187890319108,2,1714804109,True,2.3853263756326637,2.216,1.0764108193288193,2216,110,0.3,0.003321187890319108
sigma,0.003321187890319108,3,2325799790,True,1.0897616806718884,1.029,1.059049252353633,1029,51,0.3,0.003321187890319108
sigma,0.003321187890319108,4,3065956159,True,3.442898619430489,3.027,1.1373963063860222,3027,151,0.3,0.003321187890319108
sigma,0.003321187890319108,5,823930112,True,0.5353350984576474,0.524,1.0216318672855866,524,26,0.3,0.003321187890319108
sigma,0.003321187890319108,6,1218757958,True,1.8540450346661081,1.739,1.0661558566222589,1739,86,0.3,0.003321187890319108
sigma,0.003321187890319108,7,1736966549,True,3.849411610829469,3.416,1.1268769352545285,3416,170,0.3,0.003321187890319108
sigma,0.003321187890319108,8,2926781875,True,2.151700907246727,2.0020000000000002,1.074775677945418,2002,100,0.3,0.003321187890319108
sigma,0.003321187890319108,9,2592860274,True,0.27603985196124703,0.273,1.0111349888690366,273,13,0.3,0.003321187890319108
sigma,0.004673097312880963,0,3126880759,True,1.9641258191415885,1.817,1.080971832218816,1817,90,0.3,0.004673097312880963
sigma,0.004673097312880963,1,1821669808,True,0.6828154459537786,0.656,1.0408772041978331,656,32,0.3,0.004673097312880963
sigma,0.004673097312880963,2,1320648735,True,4.221832226975693,3.6430000000000002,1.158888890193712,3643,182,0.3,0.004673097312880963
sigma,0.004673097312880963,3,2163143330,True,1.5245541136402898,1.417,1.0759026913481227,1417,70,0.3,0.004673097312880963
sigma,0.004673097312880963,4,618145009,True,1.8763696885839576,1.722,1.0896455798977687,1722,86,0.3,0.004673097312880963
sigma,0.004673097312880963,5,2375663776,True,1.6519525314675505,1.497,1.103508705055144,1497,74,0.3,0.004673097312880963
sigma,0.004673097312880963,6,3214246442,True,2.1992412018243717,2.003,1.0979736404515086,2003,100,0.3,0.004673097312880963
sigma,0.004673097312880963,7,1314133479,True,2.1110408706452573,1.901,1.1104896741952957,1901,95,0.3,0.004673097312880963
sigma,0.004673097312880963,8,1473750017,True,0.17866188825446488,0.178,1.0037184733396904,178,8,0.3,0.004673097312880963
sigma,0.004673097312880963,9,3017034949,True,2.486271165894051,2.244,1.1079639776711456,2244,112,0.3,0.004673097312880963
sigma,0.006575309562975993,0,3708324481,True,0.6916589268193742,0.652,1.0608265748763408,652,32,0.3,0.006575309562975993
sigma,0.006575309562975993,1,1415370646,True,1.8138968785000622,1.645,1.102672874468123,1645,82,0.3,0.006575309562975993
sigma,0.006575309562975993,2,1400489640,True,1.409766526577675,1.307,1.0786277938620314,1307,65,0.3,0.006575309562975993
sigma,0.006575309562975993,3,4264583648,True,1.6820517970132358,1.478,1.1380594025799973,1478,73,0.3,0.006575309562975993
sigma,0.006575309562975993,4,3357052463,True,0.6775305652413239,0.648,1.0455718599403148,648,32,0.3,0.006575309562975993
