dimension,epsilon,delta_t,seed,escaped,escape_index,target_hit,outer_hit,escape_time,attempted_steps,rejected_steps
3,0.15730762877905569,0.0004949138014417839,382418371,True,1,False,True,0.1399614850879641,283,7
3,0.15730762877905569,0.0004949138014417839,2813221996,True,1,False,True,0.15750235080365152,319,0
3,0.15730762877905569,0.0004949138014417839,388076468,True,0,True,False,0.034214414539608544,70,0
3,0.15730762877905569,0.0004949138014417839,2668147350,True,0,True,False,0.011229041248212874,23,0
3,0.15730762877905569,0.0004949138014417839,380489320,True,1,False,True,0.10953898342269866,222,0
3,0.15730762877905569,0.0004949138014417839,3551404358,True,0,True,False,0.017193895149193828,35,0
3,0.15730762877905569,0.0004949138014417839,2503261514,True,0,True,False,0.08309081565423217,168,9
3,0.15730762877905569,0.0004949138014417839,1147607166,True,0,True,False,0.20263225955700137,410,3
3,0.15730762877905569,0.0004949138014417839,2188749950,True,0,True,False,0.046094407756498396,94,0
3,0.15730762877905569,0.0004949138014417839,4220433150,True,0,True,False,0.009718465386166235,20,0
3,0.15730762877905569,0.0004949138014417839,1389704726,True,1,False,True,0.178528056761204,361,0
3,0.15730762877905569,0.0004949138014417839,2500677461,True,1,False,True,0.0985030928717413,200,1
3,0.15730762877905569,0.0004949138014417839,3175785090,True,1,False,True,0.05454109854557432,111,0
3,0.15730762877905569,0.0004949138014417839,4197051190,True,0,True,False,0.12589026031016248,255,7
3,0.15730762877905569,0.0004949138014417839,3473413753,True,1,False,True,0.0460727054439023,94,0
3,0.15730762877905569,0.0004949138014417839,2321321339,True,0,True,False,0.0038178640195691473,8,0
3,0.15730762877905569,0.0004949138014417839,3667522254,True,1,False,True,0.1107921046978709,224,0
3,0.15730762877905569,0.0004949138014417839,2039763782,True,0,True,False,0.003203459105171414,7,0
3,0.15730762877905569,0.0004949138014417839,1322255584,True,1,False,True,0.061345400933906384,124,9
3,0.15730762877905569,0.0004949138014417839,684449748,True,1,False,True,0.0706326810502601,143,10
3,0.15730762877905569,0.0004949138014417839,2028574585,True,1,False,True,0.07880041616745068,160,7
3,0.15730762877905569,0.0004949138014417839,2215177353,True,0,True,False,0.012752301163791361,26,0
3,0.15730762877905569,0.0004949138014417839,216849340,True,1,False,True,0.07411910326732106,150,6
3,0.15730762877905569,0.0004949138014417839,292897736,True,1,False,True,0.09009570329288105,183,0
3,0.15730762877905569,0.0004949138014417839,65064423,True,1,False,True,0.13936571439978906,282,0
3,0.15730762877905569,0.0004949138014417839,2580050164,True,1,False,True,0.1592079321701752,322,15
3,0.15730762877905569,0.0004949138014417839,520107792,True,0,True,False,0.006338094676241102,13,0
3,0.15730762877905569,0.0004949138014417839,955557247,True,0,True,False,0.0025747951676348925,6,0
3,0.15730762877905569,0.0004949138014417839,364047870,True,1,False,True,0.06837192806277939,139,0
3,0.15730762877905569,0.0004949138014417839,1296977526,True,1,False,True,0.20623381000516708,417,0
3,0.15730762877905569,0.0004949138014417839,3290920802,True,1,False,True,0.12861084603157102,260,2
3,0.15730762877905569,0.0004949138014417839,17262646,True,1,False,True,0.17409847019990332,352,13
3,0.15730762877905569,0.0004949138014417839,2484955988,True,0,True,False,0.024852918240571446,51,0
3,0.15730762877905569,0.0004949138014417839,1290882392,True,0,True,False,0.04986748237450001,101,0
3,0.15730762877905569,0.0004949138014417839,625812021,True,0,True,False,0.017884355225338627,37,0
3,0.15730762877905569,0.0004949138014417839,2916916348,True,1,False,True,0.1859135066375163,376,26
3,0.15730762877905569,0.0004949138014417839,3290072115,True,1,False,True,0.18627906696498783,377,10
3,0.15730762877905569,0.0004949138014417839,878842342,True,1,False,True,0.08821620596376603,179,7
3,0.15730762877905569,0.0004949138014417839,2860276589,True,1,False,True,0.20179110100698266,408,19
3,0.15730762877905569,0.0004949138014417839,3573539433,True,1,False,True,0.12325871266385091,250,3
3,0.15730762877905569,0.0004949138014417839,609316342,True,0,True,False,0.018510623954785966,38,3
3,0.15730762877905569,0.0004949138014417839,1204061290,True,0,True,False,0.005153002831253708,11,0
3,0.15730762877905569,0.0004949138014417839,4216993535,True,0,True,False,0.07603888038104223,154,6
3,0.15730762877905569,0.0004949138014417839,4093064175,True,1,False,True,0.09521928821535308,193,1
3,0.15730762877905569,0.0004949138014417839,216713550,True,1,False,True,0.13772935476585538,279,4
3,0.15730762877905569,0.0004949138014417839,2787512632,True,0,True,False,0.01590944361680492,33,0
3,0.15730762877905569,0.0004949138014417839,546565101,True,0,True,False,0.018061209037453917,37,0
3,0.15730762877905569,0.0004949138014417839,4092784358,True,1,False,True,0.18362897687022797,372,6
3,0.15730762877905569,0.0004949138014417839,2833294466,True,1,False,True,0.07286863154683632,148,14
3,0.15730762877905569,0.0004949138014417839,2402694352,True,1,False,True,0.10378488702468273,210,4
3,0.15730762877905569,0.0004949138014417839,195338537,True,0,True,False,0.007268579932968805,15,0
3,0.15730762877905569,0.0004949138014417839,4282176308,True,1,False,True,0.10912664406381217,221,4
3,0.15730762877905569,0.0004949138014417839,1427641868,True,1,False,True,0.1955444958578499,396,5
3,0.15730762877905569,0.0004949138014417839,745381530,True,1,False,True,0.11446412976445614,232,2
3,0.15730762877905569,0.0004949138014417839,1909002536,True,0,True,False,0.06801180214091002,138,4
3,0.15730762877905569,0.0004949138014417839,1759457471,True,1,False,True,0.17347675898386972,351,17
3,0.12095786215188022,0.00029261608832706516,1805673635,True,1,False,True,0.04329294215913511,148,0
3,0.12095786215188022,0.00029261608832706516,435808128,True,0,True,False,0.0013599360990650194,5,0
3,0.12095786215188022,0.00029261608832706516,224566655,True,1,False,True,0.06473897708085659,222,3
3,0.12095786215188022,0.00029261608832706516,2976050278,True,1,False,True,0.1479434574841314,506,8
3,0.12095786215188022,0.00029261608832706516,1124945131,True,1,False,True,0.1605950695689453,549,5
3,0.12095786215188022,0.00029261608832706516,3076051421,True,1,False,True,0.05378718408775827,184,0
3,0.12095786215188022,0.00029261608832706516,3361707346,True,0,True,False,0.009710676193247801,34,0
